 # 2014 10 31 
 # CdTe 20 x 20 x 2 cm^3
 # Crab type flux, 60 to 600 keV, in Z, centered in XY plane 
 # 1 keV Threshold, 5*10^5 photons
142 -0.115215 -21.2313 -35.5752 -24
143 0.026711 61.4473 24.3014 -9.00255
143 0.0443331 61.4473 24.3004 -9.00174
143 -0.0710441 61.4473 24.3014 -24
144 0.031814 -42.4016 -24.17 -8.57253
144 0.0536217 -42.4027 -24.1701 -8.57125
144 -0.0854357 -42.4016 -24.17 -24
145 0.115372 42.8703 -72.3249 8.67507
145 -0.499787 42.8705 -72.3203 -24
146 0.026711 -51.0774 -96.2425 -8.98003
146 0.050389 -51.0779 -96.2423 -8.97857
146 -0.0771 -51.0774 -96.2425 -24
147 0.031814 -58.7761 53.1597 -7.56371
147 0.255444 -58.7825 53.1606 -7.54347
147 -0.287258 -58.7761 53.1597 -24
148 0.026711 32.1175 67.5696 -9.87548
148 0.0418835 32.1179 67.5705 -9.87491
148 -0.0685945 32.1175 67.5696 -24
149 0.026711 -77.4298 -21.8562 -7.9411
149 0.0801507 -77.4277 -21.858 -7.93927
149 -0.106862 -77.4298 -21.8562 -24
150 0.048729 -49.1557 62.9237 -8.47526
150 -0.166653 -49.1558 62.9244 -24
151 0.026711 20.922 48.0163 -7.63203
151 0.137328 20.9238 48.024 -7.63162
151 -0.164039 20.922 48.0163 -24
152 0.031814 -61.1577 91.1702 -8.76174
152 0.144762 -61.1508 91.1687 -8.75668
152 -0.176576 -61.1577 91.1702 -24
153 0.031814 -28.2651 7.90378 -9.65547
153 0.0914554 -28.2672 7.90391 -9.65191
153 -0.123269 -28.2651 7.90378 -24
154 0.031814 95.412 -37.5974 -9.74027
154 0.044402 95.4131 -37.5968 -9.74075
154 -0.076216 95.412 -37.5974 -24
155 0.026711 -70.9809 -50.8482 -8.85613
155 0.0621227 -70.9829 -50.848 -8.85529
155 -0.0888337 -70.9809 -50.8482 -24
156 0.031814 -85.299 -31.9801 -9.36471
156 0.0718068 -85.3004 -31.9819 -9.36316
156 -0.103621 -85.299 -31.9801 -24
157 0.031814 58.1113 34.0204 -9.58472
157 0.0454565 58.1113 34.0215 -9.58552
157 -0.0772705 58.1113 34.0204 -24
158 0.031814 -48.3292 -64.6556 1.41708
158 0.148339 -48.3287 -64.6598 1.42505
158 -0.180153 -48.3292 -64.6556 -24
159 0.026711 -72.2094 -31.0115 -9.03807
159 0.208407 -72.2161 -31.0168 -9.02525
159 -0.235118 -72.2094 -31.0115 -24
160 0.031814 70.491 61.4706 -9.46269
160 0.0429846 70.4916 61.4717 -9.46237
160 -0.0747986 70.491 61.4706 -24
161 0.031814 17.0951 48.9247 -9.97529
161 0.0279794 17.0947 48.9251 -9.97521
161 -0.0597934 17.0951 48.9247 -24
